# tof, counts, bg
2.827960088325198740e-12,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000028336444e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000028393288e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.200000000002845013e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000002850697e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000002856382e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000002862066e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000002867750e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000002873435e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000002879119e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000002884804e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.400000000002890488e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.800000000002896172e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.200000000002901857e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.600000000002907541e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000002913225e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.400000000002918910e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.800000000002924594e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.200000000002930278e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.600000000002935963e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000002941647e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.400000000002947331e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.800000000002953016e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.200000000002958700e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.600000000002964384e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000297007e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.040000000000297575e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.080000000000298144e+01,0.000000000000000000e+00,0.000000000000000000e+00
1.120000000000298712e+01,0.000000000000000000e+00,2.907905125435369682e-03
1.160000000000299281e+01,0.000000000000000000e+00,7.172059129358883400e-02
1.200000000000299849e+01,1.000000000000000000e+00,2.440108287318082936e-01
1.240000000000300417e+01,0.000000000000000000e+00,6.175675075978530604e-01
1.280000000000300986e+01,1.000000000000000000e+00,1.042395706093148577e+00
1.320000000000301554e+01,4.000000000000000000e+00,1.538440969489768051e+00
1.360000000000302123e+01,3.000000000000000000e+00,2.002696729596662006e+00
1.400000000000302691e+01,3.000000000000000000e+00,2.444625245028793969e+00
1.440000000000303260e+01,5.000000000000000000e+00,2.756110475542038252e+00
1.480000000000303828e+01,3.000000000000000000e+00,3.063381111613914687e+00
1.520000000000304397e+01,4.000000000000000000e+00,3.314801949724780261e+00
1.560000000000304965e+01,6.000000000000000000e+00,3.556881474269939947e+00
1.600000000000305533e+01,5.000000000000000000e+00,3.775648489283033538e+00
1.640000000000306102e+01,4.000000000000000000e+00,3.966167002202012348e+00
1.680000000000306670e+01,6.000000000000000000e+00,4.144879537530496982e+00
1.720000000000307239e+01,5.000000000000000000e+00,4.315882358375912276e+00
1.760000000000307807e+01,6.000000000000000000e+00,4.490921962705592740e+00
1.800000000000308376e+01,1.200000000000000000e+01,4.665949862585700103e+00
1.840000000000308944e+01,5.000000000000000000e+00,4.814710296956834057e+00
1.880000000000309512e+01,5.000000000000000000e+00,4.971025860676133057e+00
1.920000000000310081e+01,8.000000000000000000e+00,5.179984337999147925e+00
1.960000000000310649e+01,3.000000000000000000e+00,5.368164276954593639e+00
2.000000000000311218e+01,1.200000000000000000e+01,5.622980320206489857e+00
2.040000000000311786e+01,8.000000000000000000e+00,5.892319738045411093e+00
2.080000000000312355e+01,2.000000000000000000e+00,6.199572812290594648e+00
2.120000000000312923e+01,1.200000000000000000e+01,6.550364924598485850e+00
2.160000000000313491e+01,9.000000000000000000e+00,6.879747195125156090e+00
2.200000000000314060e+01,9.000000000000000000e+00,7.195092918669489634e+00
2.240000000000314628e+01,1.100000000000000000e+01,7.520614836144769555e+00
2.280000000000315197e+01,2.000000000000000000e+01,7.872780702609116332e+00
2.320000000000315765e+01,2.000000000000000000e+01,8.230510385852209509e+00
2.360000000000316334e+01,3.400000000000000000e+01,8.602655160318009919e+00
2.400000000000316902e+01,5.000000000000000000e+01,8.944734596030855300e+00
2.440000000000317470e+01,1.010000000000000000e+02,9.283659934558841087e+00
2.480000000000318039e+01,2.350000000000000000e+02,9.656018535779100631e+00
2.520000000000318607e+01,4.390000000000000000e+02,1.005337169327621538e+01
2.560000000000319176e+01,7.110000000000000000e+02,1.041728299960861115e+01
2.600000000000319744e+01,8.410000000000000000e+02,1.076900279683552419e+01
2.640000000000320313e+01,7.890000000000000000e+02,1.112382827953300790e+01
2.680000000000320881e+01,6.560000000000000000e+02,1.138162257755930717e+01
2.720000000000321450e+01,4.770000000000000000e+02,1.165455706763958155e+01
2.760000000000322018e+01,3.040000000000000000e+02,1.184401419155884305e+01
2.800000000000322586e+01,1.740000000000000000e+02,1.198016848895847808e+01
2.840000000000323155e+01,1.280000000000000000e+02,1.210581387114556229e+01
2.880000000000323723e+01,8.800000000000000000e+01,1.221963805950412230e+01
2.920000000000324292e+01,8.500000000000000000e+01,1.227528976443863939e+01
2.960000000000324860e+01,7.600000000000000000e+01,1.236891289656602311e+01
3.000000000000325429e+01,6.500000000000000000e+01,1.237413925877260468e+01
3.040000000000325997e+01,5.700000000000000000e+01,1.239344064354461317e+01
3.080000000000326565e+01,5.000000000000000000e+01,1.243903903236501840e+01
3.120000000000327134e+01,4.800000000000000000e+01,1.246966877724432976e+01
