# bins, counts, background
0.00,0.0,0.0
0.40,0.0,0.0
0.80,0.0,0.0
1.20,0.0,0.0
1.60,0.0,0.0
2.00,0.0,0.0
2.40,0.0,0.0
2.80,0.0,0.0
3.20,0.0,0.0
3.60,0.0,0.0
4.00,0.0,0.0
4.40,0.0,0.0
4.80,0.0,0.0
5.20,0.0,0.0
5.60,0.0,0.0
6.00,0.0,0.0
6.40,0.0,0.0
6.80,0.0,0.0
7.20,0.0,0.0
7.60,0.0,0.0
8.00,0.0,0.0
8.40,0.0,0.0
8.80,0.0,0.0
9.20,0.0,0.0
9.60,0.0,0.0
10.00,0.0,0.0
10.40,0.0,0.0
10.80,0.0,0.0
11.20,0.0,0.012612539587122853
11.60,1.0,1.6080628433284978
12.00,15.0,13.446037822861529
12.40,47.0,43.474182737658836
12.80,104.0,95.86615808231409
13.20,162.0,166.90902041189398
13.60,250.0,246.65446020670242
14.00,333.0,333.9701137077419
14.40,450.0,431.733665019235
14.80,562.0,532.8496488352322
15.20,637.0,639.0894135743367
15.60,733.0,748.4597331261996
16.00,826.0,859.6789495538269
16.40,953.0,971.8352520509148
16.80,1044.0,1085.1042448386238
17.20,1228.0,1196.792014380243
17.60,1274.0,1308.0389994628633
18.00,1399.0,1418.3814879246008
18.40,1499.0,1527.981884335945
18.80,1581.0,1636.9808062147079
19.20,1674.0,1743.638245898038
19.60,1865.0,1847.6401867946875
20.00,1957.0,1948.3366527147955
20.40,1961.0,2046.5582462458403
20.80,2131.0,2142.7421724128476
21.20,2119.0,2235.092219580183
21.60,2333.0,2326.035491085173
22.00,2477.0,2414.933428300864
22.40,2509.0,2501.905328180352
22.80,2557.0,2587.7781880308366
23.20,2825.0,2672.013037290723
23.60,2877.0,2754.090142111619
24.00,3507.0,2835.0499035171138
24.40,4886.0,2916.7190070500114
24.80,8141.0,2998.0671655322335
25.20,13086.0,3078.8433705375223
25.60,18504.0,3158.2479893369705
26.00,21023.0,3235.653490848459
26.40,20545.0,3311.222156710536
26.80,17153.0,3384.3976050199262
27.20,13353.0,3454.002601661781
27.60,9659.0,3518.8342066159403
28.00,7099.0,3578.0869945793143
28.40,5986.0,3632.4753197319546
28.80,5464.0,3681.750418365621
29.20,5167.0,3726.0131097500143
29.60,4943.0,3765.6629966382447
30.00,4958.0,3799.3242105066474
30.40,4915.0,3830.6989777988306
30.80,5053.0,3859.427862738477
31.20,5363.0,3886.421874300674
31.60,5853.0,3911.3500610315714
32.00,6538.0,3932.654328271395
32.40,7828.0,3951.0056669583646
32.80,9205.0,3965.8679288823478
33.20,10180.0,3980.3184783348684
33.60,11078.0,3994.706611990747
34.00,11467.0,4006.967769883761
34.40,11539.0,4018.0465480843086
34.80,11395.0,4027.2994629812342
35.20,11358.0,4034.5743065023294
35.60,11503.0,4042.129927849569
36.00,11637.0,4048.9699737590736
36.40,11893.0,4055.345657881752
36.80,12258.0,4061.4627400452796
37.20,12506.0,4065.088574952231
37.60,12695.0,4068.2859499581778
38.00,12874.0,4067.6806330861996
38.40,12938.0,4066.138040813835
38.80,13067.0,4062.7568310869824
39.20,12919.0,4057.615632238402
39.60,12989.0,4053.697334429015
40.00,12961.0,4048.2444959828963
40.40,12901.0,4040.9240461763006
40.80,13079.0,4031.7519363576366
41.20,12900.0,4021.514415234658
41.60,13043.0,4008.996166128512
42.00,12951.0,3995.1273068819623
42.40,12702.0,3977.7658769074656
42.80,12689.0,3958.197464646342
43.20,12787.0,3937.513287198612
43.60,12585.0,3915.294086125723
44.00,12635.0,3892.6365369057494
44.40,12479.0,3863.5993003918566
44.80,12569.0,3833.221598017294
45.20,12609.0,3802.871717126461
45.60,12363.0,3771.9739483006647
46.00,12093.0,3740.512832771571
46.40,12160.0,3705.4380603577356
46.80,11483.0,3666.3033373325375
47.20,11652.0,3627.6596845447734
47.60,11324.0,3588.529495660477
48.00,11224.0,3548.9797809488205
48.40,11116.0,3510.278113935963
48.80,10767.0,3471.822509268236
49.20,10708.0,3431.3166289319825
49.60,10687.0,3387.433105686374
50.00,10613.0,3343.2985006123736
50.40,10458.0,3300.50714758489
50.80,10360.0,3257.445432721955
51.20,10026.0,3215.1099915353625
51.60,10013.0,3173.4179058407244
52.00,9947.0,3131.17208859643
52.40,9669.0,3089.228330932597
52.80,9572.0,3047.634940320415
53.20,9356.0,3004.125004022463
53.60,9142.0,2961.140204292786
54.00,9023.0,2918.511950163517
54.40,8730.0,2875.970901738892
54.80,8783.0,2833.8347866528798
55.20,8692.0,2792.305579163492
55.60,8887.0,2750.812888013635
56.00,8711.0,2708.529986474159
56.40,8568.0,2666.86931812484
56.80,8569.0,2625.5634662736106
57.20,8259.0,2585.3186637686595
57.60,8248.0,2544.5231826022455
58.00,8019.0,2504.1462274184037
58.40,7938.0,2463.937471128756
58.80,7812.0,2423.6877586616065
59.20,7715.0,2384.0256011216984
59.60,7664.0,2344.9333569503856
60.00,7462.0,2306.284330496549
60.40,7341.0,2268.07267805038
60.80,7289.0,2229.7369183432857
61.20,7211.0,2192.2871040092587
61.60,6967.0,2155.295557945966
62.00,6896.0,2118.3884956742004
62.40,6874.0,2082.0780205765977
62.80,6762.0,2046.0521643744207
63.20,6547.0,2010.4129384315402
63.60,6460.0,1975.4569728259269
64.00,6162.0,1941.079811554217
64.40,6195.0,1907.1709157929924
64.80,6125.0,1873.610739454818
65.20,5792.0,1840.21054941296
65.60,5682.0,1807.3644385700488
66.00,5604.0,1774.8804891132168
66.40,5362.0,1742.6685811750756
66.80,5233.0,1710.7182637024366
67.20,5002.0,1679.0886997358575
67.60,5007.0,1647.6805821232126
68.00,4929.0,1616.9547167275236
68.40,4653.0,1586.8502014115002
68.80,4607.0,1557.2850315874891
69.20,4336.0,1527.7254217784473
69.60,4346.0,1498.965949141545
70.00,4179.0,1470.1933837471295
70.40,4171.0,1441.9944438208195
70.80,3998.0,1413.9923944053164
71.20,3864.0,1386.2685020549266
71.60,3929.0,1359.3679331238734
72.00,3649.0,1332.2804794678657
72.40,3604.0,1305.6471096992987
72.80,3499.0,1279.5676729853858
73.20,3214.0,1253.4201231496525
73.60,3233.0,1227.9298185605098
74.00,3086.0,1202.8597727840404
74.40,2995.0,1177.49127695763
74.80,2960.0,1152.742810061368
75.20,2891.0,1128.2029170098879
75.60,2709.0,1103.609152655038
76.00,2708.0,1079.4511820674882
76.40,2516.0,1055.8569337073375
76.80,2494.0,1032.0515583932092
77.20,2440.0,1008.6280906722809
77.60,2357.0,985.6780344984504
78.00,2226.0,963.1785519947449
78.40,2133.0,940.2308985703348
78.80,2058.0,917.7514592246873
79.20,2029.0,895.8673156264275
79.60,1939.0,874.2582445958823
80.00,1880.0,851.9702987833125
80.40,1834.0,830.2885856014116
80.80,1680.0,809.0119357170929
81.20,1725.0,788.3394549548553
81.60,1641.0,766.9555407730855
82.00,1560.0,745.9641749154177
82.40,1544.0,725.5120085973222
82.80,1496.0,705.5868236198459
83.20,1413.0,686.0259411653481
83.60,1321.0,665.7585750362314
84.00,1284.0,646.0649428392966
84.40,1253.0,626.8733420121423
84.80,1243.0,608.1554800139563
85.20,1223.0,589.9608573411405
85.60,1131.0,571.1321533106617
86.00,1125.0,552.6622414906662
86.40,1056.0,534.6451389838003
86.80,1009.0,517.2071215544476
87.20,972.0,500.1566510560702
87.60,912.0,483.62470303079414
88.00,898.0,466.63272100404396
88.40,894.0,450.0362692494971
88.80,815.0,433.97917543926184
89.20,789.0,418.33541567179293
89.60,779.0,403.19222081799927
90.00,732.0,388.50506877954183
90.40,675.0,373.9797246837991
90.80,644.0,359.33913900754317
91.20,614.0,345.0799518774678
91.60,559.0,331.20380883058397
92.00,570.0,317.7854606008119
92.40,541.0,304.73520278755336
92.80,480.0,292.07003173034764
93.20,473.0,279.8237811718042
93.60,467.0,267.770981504952
94.00,459.0,255.9806885932722
94.40,482.0,244.58519576579954
94.80,381.0,233.5324424776349
95.20,383.0,222.75458206616915
95.60,374.0,212.3421600829615
96.00,327.0,202.28191701285382
96.40,343.0,192.47263801002828
96.80,292.0,182.98116143275467
97.20,307.0,174.06404280698357
97.60,271.0,165.5063600308446
98.00,282.0,157.14819082594312
98.40,262.0,149.0794858651184
98.80,235.0,141.28978226836284
99.20,236.0,133.74934861567505
99.60,180.0,126.40837217830354
100.00,194.0,119.32591742103435
100.40,199.0,112.49264911656667
100.80,156.0,105.89716620998293
101.20,156.0,99.6825679725849
101.60,155.0,94.44166311641952
102.00,156.0,89.38390770685324
102.40,137.0,84.50277532473847
102.80,125.0,79.78206356632592
103.20,108.0,75.21793010743457
103.60,104.0,70.81429230161874
104.00,96.0,66.56546351552917
104.40,94.0,62.46597036633966
104.80,64.0,58.48414115958818
105.20,64.0,54.63036569237354
105.60,82.0,50.91565009997885
106.00,68.0,47.335072231617346
106.40,72.0,44.23466754854923
106.80,68.0,41.84959113684879
107.20,60.0,39.52264469844982
107.60,50.0,37.27848964396919
